ENLIGHTEN Version,2.3.4
Measurement ID,20210329-094755-288958-WP-00686
Serial Number,WP-00686
Model,SIG-VIS-385
Detector,IMX385
Label,09:47:55 WP-00686
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,0
Slit Width,25
Vignetted,False
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,11
Timestamp,2021-03-29 09:47:55.288958
Note,
Temperature,0
CCD C0,269.2947082519531
CCD C1,0.45394909381866455
CCD C2,-0.00016288440383505076
CCD C3,7.102651977675123e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,0.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1952

Pixel,Wavelength,Processed
0,269.29,1095.00
1,269.75,1432.00
2,270.20,1404.00
3,270.66,1351.00
4,271.11,1370.00
5,271.56,1386.00
6,272.01,1360.00
7,272.46,1380.00
8,272.92,1378.00
9,273.37,1388.00
10,273.82,1404.00
11,274.27,1405.00
12,274.72,1428.00
13,275.17,1382.00
14,275.62,1363.00
15,276.07,1380.00
16,276.52,1387.00
17,276.97,1396.00
18,277.41,1388.00
19,277.86,1405.00
20,278.31,1374.00
21,278.76,1367.00
22,279.20,1402.00
23,279.65,1402.00
24,280.10,1407.00
25,280.54,1400.00
26,280.99,1437.00
27,281.43,1430.00
28,281.88,1402.00
29,282.32,1396.00
30,282.77,1386.00
31,283.21,1405.00
32,283.66,1386.00
33,284.10,1408.00
34,284.54,1449.00
35,284.99,1401.00
36,285.43,1395.00
37,285.87,1419.00
38,286.31,1436.00
39,286.76,1417.00
40,287.20,1413.00
41,287.64,1435.00
42,288.08,1456.00
43,288.52,1466.00
44,288.96,1456.00
45,289.40,1462.00
46,289.84,1467.00
47,290.28,1480.00
48,290.72,1452.00
49,291.16,1419.00
50,291.59,1429.00
51,292.03,1518.00
52,292.47,1551.00
53,292.91,1479.00
54,293.34,1446.00
55,293.78,1481.00
56,294.22,1492.00
57,294.65,1461.00
58,295.09,1436.00
59,295.53,1480.00
60,295.96,1470.00
61,296.40,1432.00
62,296.83,1478.00
63,297.26,1523.00
64,297.70,1510.00
65,298.13,1500.00
66,298.57,1444.00
67,299.00,1427.00
68,299.43,1454.00
69,299.87,1445.00
70,300.30,1452.00
71,300.73,1435.00
72,301.16,1408.00
73,301.59,1408.00
74,302.02,1424.00
75,302.45,1438.00
76,302.89,1456.00
77,303.32,1416.00
78,303.75,1423.00
79,304.18,1422.00
80,304.60,1423.00
81,305.03,1461.00
82,305.46,1475.00
83,305.89,1503.00
84,306.32,1459.00
85,306.75,1434.00
86,307.17,1478.00
87,307.60,1506.00
88,308.03,1453.00
89,308.46,1427.00
90,308.88,1481.00
